,impression_uuid,tag
565,00000000-0000-0001-6270-442816991331,fclick
566,00000000-0000-0001-6269-040667021260,vregistration
568,00000000-0000-0001-6268-891710931778,vregistration
569,00000000-0000-0001-6270-445969331403,fclick
571,00000000-0000-0001-6270-447335271714,fclick
572,00000000-0000-0001-6270-447728461847,fclick
573,00000000-0000-0001-6270-448314451849,fclick
574,00000000-0000-0001-6270-448720901832,fclick
575,00000000-0000-0001-6270-448822101532,fclick
577,00000000-0000-0001-6270-449367461917,fclick
581,00000000-0000-0001-6270-449607921642,fclick
583,00000000-0000-0001-6270-449988611784,fclick
584,00000000-0000-0001-6270-452017291580,fclick
585,00000000-0000-0001-6270-452495881388,fclick
587,00000000-0000-0001-6270-452648341240,fclick
588,00000000-0000-0001-6270-452964121103,fclick
589,00000000-0000-0001-6270-453795761716,fclick
590,00000000-0000-0001-6270-455161041495,fclick
594,00000000-0000-0001-6270-455353711549,fclick
595,00000000-0000-0001-6269-705735121214,vregistration
596,00000000-0000-0001-6270-455529941520,fclick
597,00000000-0000-0001-6270-457029221057,fclick
599,00000000-0000-0001-6270-458528231818,fclick
603,00000000-0000-0001-6270-458483461206,fclick
605,00000000-0000-0001-6270-459133741501,fclick
606,00000000-0000-0001-6270-459133741501,registration
607,00000000-0000-0001-6270-459348191116,fclick
609,00000000-0000-0001-6270-459489041219,fclick
612,00000000-0000-0001-6270-460451961682,fclick
613,00000000-0000-0001-6270-460533311434,fclick
615,00000000-0000-0001-6270-461005691526,fclick
618,00000000-0000-0001-6270-461320581656,fclick
620,00000000-0000-0001-6270-461609661374,fclick
621,00000000-0000-0001-6270-462521421664,fclick
622,00000000-0000-0001-6270-462905471336,fclick
624,00000000-0000-0001-6270-463152021971,fclick
626,00000000-0000-0001-6270-463864101429,fclick
629,00000000-0000-0001-6270-464550601484,fclick
631,00000000-0000-0001-6270-447728461847,vregistration
632,00000000-0000-0001-6269-604404681608,vregistration
633,00000000-0000-0001-6269-496574771110,vregistration
634,00000000-0000-0001-6270-468008491332,fclick
636,00000000-0000-0001-6270-468374741971,fclick
638,00000000-0000-0001-6270-413625771460,vcontent
641,00000000-0000-0001-6270-471015861326,fclick
643,00000000-0000-0001-6270-471494631965,fclick
645,00000000-0000-0001-6270-473571061245,fclick
647,00000000-0000-0001-6270-474291721367,fclick
650,00000000-0000-0001-6270-475137031361,fclick
652,00000000-0000-0001-6270-475481881106,fclick
653,00000000-0000-0001-6270-476822861388,fclick
654,00000000-0000-0001-6269-544155041320,vregistration
656,00000000-0000-0001-6270-477213391069,fclick
658,00000000-0000-0001-6270-477721471131,fclick
661,00000000-0000-0001-6270-478306381357,fclick
664,00000000-0000-0001-6270-478688141005,fclick
668,00000000-0000-0001-6270-478887831066,fclick
669,00000000-0000-0001-6270-478782141778,fclick
671,00000000-0000-0001-6270-261399021193,vregistration
673,00000000-0000-0001-6270-479604051833,fclick
677,00000000-0000-0001-6270-480283751126,fclick
682,00000000-0000-0001-6270-480378221710,registration
683,00000000-0000-0001-6270-480378221710,fclick
684,00000000-0000-0001-6270-480935791553,fclick
685,00000000-0000-0001-6269-608299051837,vregistration
686,00000000-0000-0001-6269-608299051837,vsignup
687,00000000-0000-0001-6270-482216391075,fclick
689,00000000-0000-0001-6270-482369031484,fclick
690,00000000-0000-0001-6270-482809951610,fclick
692,00000000-0000-0001-6270-483320401392,fclick
693,00000000-0000-0001-6270-483280501533,fclick
695,00000000-0000-0001-6270-483403721455,fclick
697,00000000-0000-0001-6270-483583141461,fclick
699,00000000-0000-0001-6270-483555071405,fclick
701,00000000-0000-0001-6270-484947391018,fclick
703,00000000-0000-0001-6270-485039761473,fclick
708,00000000-0000-0001-6270-486004111650,fclick
711,00000000-0000-0001-6270-486281411423,fclick
713,00000000-0000-0001-6270-486428441393,fclick
715,00000000-0000-0001-6270-486584521327,fclick
716,00000000-0000-0001-6270-487186831157,fclick
718,00000000-0000-0001-6269-489353701514,vregistration
719,00000000-0000-0001-6270-488213041596,fclick
721,00000000-0000-0001-6270-488380621700,fclick
724,00000000-0000-0001-6270-489481611835,fclick
726,00000000-0000-0001-6269-017941421648,vregistration
727,00000000-0000-0001-6270-490394781719,fclick
729,00000000-0000-0001-6270-491122211137,fclick
731,00000000-0000-0001-6270-491607211709,fclick
733,00000000-0000-0001-6270-491828641470,fclick
735,00000000-0000-0001-6270-492171861079,fclick
736,00000000-0000-0001-6270-492530661964,fclick
738,00000000-0000-0001-6270-493267761320,fclick
740,00000000-0000-0001-6270-495252571891,fclick
742,00000000-0000-0001-6270-495249941997,fclick
744,00000000-0000-0001-6270-497210881431,fclick
745,00000000-0000-0001-6270-497177591086,fclick
747,00000000-0000-0001-6270-497239601570,fclick
748,00000000-0000-0001-6270-497977681306,fclick
751,00000000-0000-0001-6270-499400181485,fclick
752,00000000-0000-0001-6270-499839071613,fclick
754,00000000-0000-0001-6269-879133711014,vregistration
755,00000000-0000-0001-6270-500646921328,fclick
757,00000000-0000-0001-6270-501022511558,fclick
759,00000000-0000-0001-6270-501029941448,fclick
760,00000000-0000-0001-6270-501178821953,fclick
763,00000000-0000-0001-6269-779713851053,vregistration
764,00000000-0000-0001-6270-498008681490,fclick
765,00000000-0000-0001-6270-502103241509,fclick
767,00000000-0000-0001-6270-502249871139,fclick
769,00000000-0000-0001-6270-502410081597,fclick
771,00000000-0000-0001-6270-504498341470,fclick
773,00000000-0000-0001-6270-505023201386,fclick
777,00000000-0000-0001-6270-505155751320,fclick
779,00000000-0000-0001-6270-505844141614,fclick
780,00000000-0000-0001-6270-505856301856,fclick
782,00000000-0000-0001-6269-850442221821,vregistration
783,00000000-0000-0001-6270-506054471298,fclick
784,00000000-0000-0001-6270-506447071169,fclick
786,00000000-0000-0001-6270-506036011071,fclick
788,00000000-0000-0001-6269-615489451055,vregistration
791,00000000-0000-0001-6270-508562901167,fclick
793,00000000-0000-0001-6270-509162981700,fclick
794,00000000-0000-0001-6270-509162981700,registration
795,00000000-0000-0001-6270-509220601905,fclick
796,00000000-0000-0001-6270-510236861661,fclick
797,00000000-0000-0001-6270-510695581018,fclick
798,00000000-0000-0001-6269-691093991882,vregistration
801,00000000-0000-0001-6270-512421281203,fclick
803,00000000-0000-0001-6270-513303861218,fclick
804,00000000-0000-0001-6270-514203931181,fclick
806,00000000-0000-0001-6270-514437891529,fclick
807,00000000-0000-0001-6270-514966031150,fclick
811,00000000-0000-0001-6270-515750861306,fclick
813,00000000-0000-0001-6270-515904521009,fclick
815,00000000-0000-0001-6270-516370221134,fclick
817,00000000-0000-0001-6270-516454511969,fclick
818,00000000-0000-0001-6269-525120681742,vregistration
819,00000000-0000-0001-6270-516658411013,fclick
820,00000000-0000-0001-6270-517660801015,fclick
822,00000000-0000-0001-6270-517907811192,fclick
823,00000000-0000-0001-6270-521412691762,fclick
824,00000000-0000-0001-6269-511767071783,vregistration
825,00000000-0000-0001-6270-523336471680,fclick
826,00000000-0000-0001-6270-523926001186,fclick
827,00000000-0000-0001-6270-077772691590,vregistration
